smiles,logCMC
CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.568201724
CCCCCCCCCCCC(C(=O)O)[n+]1ccccc1,2.777157772
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCO,3.472756449
CCCCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCCCC)c2)c1,2.93
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.491361694
CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1,1.462
CCCCCCCC[n+]1ccccc1,5.289532895
CCCCCCCCCCC(O)CCO,2.149401494
CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,0.5299853
CCCCCCCCCCCCS(=O)(=O)[O-],3.949390007
CCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCC)c2)c1,3.33
CCCCCCCCCCCCCCC[n+]1ccccc1,3.113943352
CCCCCOCC(O)C(O)C(O)CO,4.579783597
CCCCCCCCCCCCC[n+]1ccccc1,3.72427587
CCCCCCCCCCCCCC[N+](C)(C)C,3.653212514
CCCCCCCCCCOCCOCCOCCOCCOCCO,2.880813592
CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CC)CC(O)C[N+](C)(C)CCCCCCCCCCCC,2.872
CCCCCSCC(O)C(O)C(O)CO,4.662757832
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,1.037426498
CCCCCCCCCCCCOCCOCCOCCOCCO,1.806179974
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,2.245512668
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.322219295
CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,3.708
CCn1cc[n+](COCCCOC[n+]2ccn(CC)c2)c1,3.74
CCCCCCCCCC(=O)[O-],4.973127854
CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.281552816
CCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCC)c2)c1,3.21
CCCCCCCCCCCCn1cc[n+](CC[n+]2ccn(CCCCCCCCCCCC)c2)c1,2.806
CCCCCCCCCCCCCC[n+]1ccccc1,3.836618366
CCCCCCCCCCCC[n+]1cccc2ccccc21,3.681241237
CCCCCCCCC[N+](C)(C)[O-],4.73239376
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,2.399673721
CCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCC,2.991
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.456904569
CCCCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1,1.477
CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,2.978
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,1.017033339
CCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCC,2.303
CCCCCCCCCCCCS(=O)(=O)[O-],4.05697057
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.505149978
CCCCCCCCCCCCS(=O)(=O)[O-],4.041392685
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.477121255
CCCCCCCCCCOS(=O)(=O)[O-],4.518777069
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],3.301029996
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,1.459392488
CCCCCCCCCCC(O)CO,2.243452435
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.954242509
CCCCCCC(=O)OCC(O)C(O)C(O)CO,4
CCCCCCCCC(O)CCO,3.361727836
CCCCCCCCCCCCCCCCCC[N+](C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,1.519
CCCCCCCCOCC(O)CO,3.763427994
CCCCCCSC1OC(=O)C(O)C1O,3.826074803
CCCCCCOCCOCCOCCOCCOCCOCCO,5.900913068
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,4.919078092
CCCCCCCCCCC(C)OCCOCCOCCO,1.70104701
CCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCC)c2)c1,3.51
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.361727836
CCCCCCCCCCCCn1cc[n+](CCCCCC[n+]2ccn(CCCCCCCCCCCC)c2)c1,2.869
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505
CCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1,2.38
