smile_A,mol_fraction_A,smile_B,mol_fraction_B,logCMC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.67,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.33,2.283301229
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.83,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.17,2.51851394
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],1,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0,3.303196057
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,1.033423755
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.17,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.83,1.041392685
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.33,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.67,1.103803721
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.5,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5,1.204119983
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.58,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.42,1.342422681
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.67,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.33,1.584331224
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.83,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.17,1.986323777
