smile_A,mol_fraction_A,smile_B,mol_fraction_B
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.02,CCCCCCCCCCCC[N+](C)(C)C,0.98
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.055,CCCCCCCCCCCC[N+](C)(C)C,0.945
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.1,CCCCCCCCCCCC[N+](C)(C)C,0.9
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.2,CCCCCCCCCCCC[N+](C)(C)C,0.8
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.3,CCCCCCCCCCCC[N+](C)(C)C,0.7
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.5,CCCCCCCCCCCC[N+](C)(C)C,0.5
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6,CCCCCCCCCCCC[N+](C)(C)C,0.4
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.7,CCCCCCCCCCCC[N+](C)(C)C,0.3
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8,CCCCCCCCCCCC[N+](C)(C)C,0.2
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9,CCCCCCCCCCCC[N+](C)(C)C,0.1
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0,CCCCCCCCCCCC[N+](C)(C)C,0.0
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,CCCCCCCCCCCCOS(=O)(=O)[O-],1.0
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.05,CCCCCCCCCCCCOS(=O)(=O)[O-],0.95
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.1,CCCCCCCCCCCCOS(=O)(=O)[O-],0.9
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.15,CCCCCCCCCCCCOS(=O)(=O)[O-],0.85
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8,CCCCCCCCCCCCOS(=O)(=O)[O-],0.2
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9,CCCCCCCCCCCCOS(=O)(=O)[O-],0.1
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.95,CCCCCCCCCCCCOS(=O)(=O)[O-],0.05
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.97,CCCCCCCCCCCCOS(=O)(=O)[O-],0.03
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0,CCCCCCCCCCCCOS(=O)(=O)[O-],0.0
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],1.0
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.05,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],0.95
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.15,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],0.85
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.4,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],0.6
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],0.4
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],0.2
C[N+](CCO)(CCCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.95,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],0.05
